,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
87,Primoz Brezec,CHA,25,72,16,56,31.7,13,5.4,10.5,51.2,0,0,0,2.3,3.1,74.5,3.1,4.2,7.4,1.2,1.5,0.5,0.8,2.5,25.9,15,0,-4.5
88,Mehmet Okur,UTA,26,82,26,56,28.1,12.9,4.3,9.2,46.8,0.2,0.8,27,4,4.7,85,2.4,5.1,7.5,2,1.7,0.4,0.8,2.8,26.8,22,0,-2.5
89,Darius Miles,POR,23,63,25,38,26.9,12.8,5.3,11.1,48.2,0.1,0.4,34.8,2,3.4,60,1.1,3.6,4.7,2,2.5,1.2,1.2,3,26.4,2,0,-1.2
90,Jeff McInnis,CLE,30,76,39,37,34.9,12.8,5,12,41.2,1.2,3.5,34.5,1.7,2.1,81.3,0.4,1.6,2.1,5.1,1.5,0.7,0,2.3,23.7,5,0,0.4
91,Latrell Sprewell,MIN,34,80,44,36,30.6,12.8,5,12,41.4,0.9,2.6,32.7,2,2.4,83,0.8,2.4,3.2,2.2,1.6,0.7,0.3,1.6,21.1,0,0,-0.2
92,Eddie Jones,MIA,33,80,58,22,35.5,12.7,4.4,10.3,42.8,1.8,4.8,37.2,2.2,2.7,80.6,0.5,4.6,5.1,2.7,1.2,1.1,0.5,3.1,26.2,3,0,6.1
93,Josh Howard,DAL,25,76,56,20,32.2,12.6,5,10.4,47.5,0.4,1.5,29.6,2.2,3.1,73.3,2.2,4.1,6.4,1.4,1.6,1.5,0.6,2.8,27.3,12,0,5.6
94,Morris Peterson,TOR,27,82,33,49,30.7,12.5,4.3,10.3,42,1.6,4.1,38.5,2.3,2.8,83.2,0.9,3.3,4.1,2.1,1.1,1.1,0.2,2.7,23.5,3,0,-0.6
95,Dan Dickau,NOH,26,71,18,53,29.3,12.5,4.3,10.6,40.5,1.2,3.5,34.7,2.7,3.2,83.3,0.5,2.1,2.5,4.9,2,1.1,0.1,2.8,24.2,5,0,-4.6
96,Kenny Thomas,SAC,27,73,36,37,29.7,12.4,5,10.7,47,0,0.1,20,2.4,3.1,76.2,2.5,4.8,7.3,2.1,1.8,0.9,0.2,3.1,26,15,0,-1.2
97,Jason Terry,DAL,27,80,56,24,30,12.4,4.7,9.3,50.1,1.3,3.1,42,1.8,2.2,84.4,0.5,1.9,2.4,5.4,1.8,1.4,0.2,2.2,26.1,6,0,5.8
98,Earl Boykins,DEN,29,82,49,33,26.4,12.3,4.1,10,41.3,0.7,2,33.7,3.4,3.7,92,0.5,1.3,1.7,4.5,1.5,1,0.1,1.5,23.1,6,0,1.3
99,Raja Bell,UTA,28,63,20,43,28.5,12.3,4.8,10.6,45.4,0.9,2.1,40.3,1.8,2.4,74.7,0.8,2.4,3.2,1.4,1.3,0.7,0.1,3.3,19.5,1,0,-3.3
100,Bobby Jackson,SAC,32,25,18,7,21.6,12,4.4,10.2,42.7,1.3,3.8,34.4,2,2.3,86.2,0.9,2.5,3.4,2.4,1.1,0.6,0.1,2.3,20.5,0,0,1.6
