,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
102,31.0,80.0,36.0,44.0,21.1,9.8,3.5,7.6,46.1,1.3,3.1,40.7,1.5,1.8,84.7,0.4,1.6,1.9,3.6,1.3,1.0,0.1,1.6,19.5,1.0,0.0,-0.5
103,33.0,70.0,25.0,45.0,20.8,7.9,3.6,7.7,45.9,0.0,0.0,0.0,0.7,1.6,45.2,2.5,3.8,6.3,1.5,1.4,0.5,0.6,2.3,19.8,10.0,0.0,-2.4
104,29.0,81.0,29.0,52.0,28.2,11.0,4.1,10.2,39.7,1.5,4.2,36.5,1.3,1.6,80.8,0.6,2.5,3.0,1.9,1.3,0.7,0.5,1.9,19.6,0.0,0.0,-1.8
105,25.0,81.0,54.0,27.0,32.3,12.6,4.5,10.5,42.5,1.9,4.7,40.5,1.7,2.2,78.8,0.9,2.7,3.6,2.2,1.2,0.7,0.2,2.7,21.8,1.0,0.0,4.6
106,31.0,54.0,35.0,19.0,31.8,9.5,3.9,8.9,44.1,0.3,0.7,43.6,1.4,1.7,79.6,0.2,2.6,2.8,3.4,1.0,0.7,0.1,2.1,19.5,1.0,0.0,2.1
107,27.0,79.0,24.0,55.0,29.4,9.3,3.4,7.7,44.1,0.0,0.0,0.0,2.5,3.5,72.2,2.5,5.0,7.5,1.1,1.5,1.1,0.9,2.5,24.6,11.0,0.0,-1.9
108,30.0,58.0,31.0,27.0,29.4,15.3,5.9,13.0,45.5,1.3,3.7,36.0,2.2,3.4,63.8,1.7,3.4,5.1,2.1,1.5,1.2,0.4,1.7,28.0,4.0,0.0,0.2
109,25.0,48.0,29.0,19.0,36.0,15.1,5.2,12.0,43.5,0.8,2.5,30.3,3.8,4.8,79.7,1.5,3.4,4.9,2.8,2.3,0.9,0.3,2.9,26.4,1.0,0.0,2.7
110,34.0,73.0,35.0,38.0,27.2,8.4,2.8,6.2,45.2,0.8,2.6,29.1,2.0,2.4,83.3,0.5,1.6,2.1,3.0,1.4,1.1,0.1,1.6,17.8,1.0,0.0,-0.4
111,24.0,79.0,25.0,54.0,35.6,17.7,7.1,14.4,49.5,0.0,0.1,0.0,3.5,5.6,63.0,2.1,3.6,5.6,2.9,2.5,1.0,0.6,3.2,31.1,6.0,0.0,-3.5
112,34.0,63.0,34.0,29.0,22.7,9.5,3.6,8.4,43.1,0.8,2.5,33.5,1.4,1.6,84.5,0.4,1.7,2.0,4.7,2.6,0.8,0.1,1.5,19.2,1.0,0.0,-0.3
113,35.0,81.0,41.0,40.0,31.2,16.1,6.6,12.9,51.0,0.0,0.1,14.3,3.0,3.8,79.3,2.9,5.5,8.4,1.0,2.1,0.7,0.5,2.9,29.0,24.0,0.0,-0.9
114,38.0,39.0,11.0,28.0,11.3,3.9,1.3,3.7,36.4,0.1,0.3,30.8,1.1,1.3,82.7,0.5,0.7,1.2,0.9,0.5,0.2,0.0,0.9,6.7,0.0,0.0,-2.8
115,37.0,81.0,60.0,21.0,20.7,7.2,2.4,5.8,41.6,1.1,2.7,39.2,1.2,1.6,78.9,0.7,2.5,3.1,1.4,0.8,0.8,0.4,2.0,15.6,0.0,0.0,4.0
